key	source	entry_type	doi	routes_http	fields_checked	mismatches	not_counted	record_normalisations	format_fixes	duplicate_of	verdict	detail	action	label_after
HATA2006	L8	article	10.1093/jmicro/dfl001	Crossref https://api.crossref.org/works/10.1093/jmicro/dfl001 -> HTTP 200 | CiNii Research https://cir.nii.ac.jp/crid/1571135650339084160.json -> HTTP 200 | Europe PMC search by DOI https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI%3A%2210.1093/jmicro/dfl001%22&resultType=core&format=json -> HTTP 200 | OpenAlex work record (aggregator; corroboration only) https://api.openalex.org/works/doi:10.1093/jmicro/dfl001?select=title,authorships -> HTTP 200 | Semantic Scholar paper record (aggregator; corroboration only) https://api.semanticscholar.org/graph/v1/paper/DOI:10.1093/jmicro/dfl001?fields=title,authors,year -> HTTP 200 | publisher landing page via doi.org, requested as text/html (for the printed byline) https://doi.org/10.1093/jmicro/dfl001 -> HTTP 403	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref),author(CiNii),title(CiNii),container-title(CiNii),volume(CiNii),issue(CiNii),pages(CiNii),year(CiNii)	author-count: '1' vs '6' [CiNii; count; entry not merged (see reason)]; author[1].family: 'Hata' vs 'Sosiati' [CiNii; family; entry not merged (see reason)]; author[1].given: 'S.' vs 'Harini' [CiNii; given; entry not merged (see reason)]	none	none	none	none	NOT MERGED	NOT-MERGED	not merged: author list unresolved. The Crossref record (OUP deposit) lists one author, 'S. Hata' (OpenAlex marks him as the corresponding author); the CiNii/NII article record (NAID 10018006189) lists six authors starting with H. Sosiati (Sosiati, Hata, Kuwano, Itakura, Nakano, Umakoshi); Semantic Scholar lists the same six starting with S. Hata; the printed byline (academic.oup.com) answered HTTP 403 and PubMed has no record. The proposal (author = 'Hata, S.') would cite a six-author paper under one name, and the author order cannot be settled from the records. Title, journal, volume 55, issue 1, pages 23-26 and year 2006 agree in all records; merge once the byline is read.	-
WATANABE1999HK	L8	article	10.1380/jsssj.20.250	Crossref https://api.crossref.org/works/10.1380/jsssj.20.250 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref)	none	none	family names deposited in capitals (WATANABE, MIYATA, ICHIKAWA) read as capitalised; closing full stop of the J-STAGE record title dropped	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
WATANABE2000BUTSURI	L8	article	10.11316/butsuri1946.55.846	Crossref https://api.crossref.org/works/10.11316/butsuri1946.55.846 -> HTTP 404 | doi.org/ra https://doi.org/ra/10.11316/butsuri1946.55.846 -> HTTP 200 | JaLC https://api.japanlinkcenter.org/dois/10.11316%2Fbutsuri1946.55.846 -> HTTP 200	author(JaLC),title(JaLC),container-title(JaLC),volume(JaLC),issue(JaLC),pages(JaLC),year(JaLC)	author[3].family: 'Ichikawa' vs 'lchikawa' [JaLC; family; proposal kept (record artefact; tools/bib/b5_routes.yaml accepted_residual)]	none	none	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
ICHIKAWA2002IEEJ	L8	article	10.1541/ieejjournal.122.87	Crossref https://api.crossref.org/works/10.1541/ieejjournal.122.87 -> HTTP 200 | J-STAGE landing page (citation meta tags) http://www.jstage.jst.go.jp/article/ieejjournal1994/122/2/122_2_87/_article/-char/ja/ -> HTTP 200	title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref),title(J-STAGE),container-title(J-STAGE),volume(J-STAGE),issue(J-STAGE),pages(J-STAGE),year(J-STAGE),author(linked records)	none	author (record-silent, Crossref); author (record-silent, J-STAGE); title (record-silent, J-STAGE); container-title (record-silent, J-STAGE)	the record title carries the issue's feature title 'Nanotechnologies Support The 21st Century Based on The Information and The Communication Technologies.' before the article title; that prefix is removed (declared in tools/bib/b5\_routes.yaml); closing full stop of the J-STAGE record title dropped	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
TAKAKUWA2002HK	L8	article	10.1380/jsssj.23.536	Crossref https://api.crossref.org/works/10.1380/jsssj.23.536 -> HTTP 200 | J-STAGE landing page (citation meta tags) http://www.jstage.jst.go.jp/article/jsssj/23/9/23_9_536/_article/-char/ja/ -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref),title(J-STAGE),container-title(J-STAGE),volume(J-STAGE),issue(J-STAGE),pages(J-STAGE),year(J-STAGE)	none	author (record-silent, J-STAGE); title (record-silent, J-STAGE); container-title (record-silent, J-STAGE)	family names deposited in capitals (TAKAKUWA) read as capitalised; the record title carries the issue's feature title 'Oxidation Mechanism of Silicon Surface.' before the article title; that prefix is removed (declared in tools/bib/b5\_routes.yaml); closing full stop of the J-STAGE record title dropped	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
HONDA1988	L8	article	10.3131/jvsj.31.783	Crossref https://api.crossref.org/works/10.3131/jvsj.31.783 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref)	none	none	family names deposited in capitals (HONDA, OHSAWA) read as capitalised; container title deposited in capitals ('SHINKU') read as capitalised; closing full stop of the J-STAGE record title dropped	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
HATTORI2001	L8	article	10.3131/jvsj.44.695	Crossref https://api.crossref.org/works/10.3131/jvsj.44.695 -> HTTP 200 | J-STAGE landing page (citation meta tags) http://www.jstage.jst.go.jp/article/jvsj1958/44/8/44_8_695/_article/-char/ja/ -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref),author(J-STAGE),title(J-STAGE),container-title(J-STAGE),volume(J-STAGE),issue(J-STAGE),pages(J-STAGE),year(J-STAGE)	none	none	family names deposited in capitals (HATTORI) read as capitalised; container title deposited in capitals ('SHINKU') read as capitalised; the Crossref record's title is empty; the English title of the J-STAGE landing page (citation\_title, cached as HATTORI2001.jstage.json) is used	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
KOMIYA1997	L8	article	10.5940/jcrsj.39.89	Crossref https://api.crossref.org/works/10.5940/jcrsj.39.89 -> HTTP 200 | J-STAGE landing page (citation meta tags) http://www.jstage.jst.go.jp/article/jcrsj1959/39/1/39_1_89/_article/-char/ja/ -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref),author(J-STAGE),title(J-STAGE),container-title(J-STAGE),volume(J-STAGE),issue(J-STAGE),pages(J-STAGE),year(J-STAGE)	none	none	family names deposited in capitals (KOMIYA, AWAJI, HORII, TOMITA) read as capitalised; the record title carries the issue's feature title 'Frontiers in Crystallography with Synchrotron Radiation. Utilizing of Various Properties of Synchrotron Radiation.' before the article title; that prefix is removed (declared in tools/bib/b5\_routes.yaml); closing full stop of the J-STAGE record title dropped	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
ERHARD2024	L8	article	10.1038/s41467-024-45840-9	Crossref https://api.crossref.org/works/10.1038/s41467-024-45840-9 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref)	none	none	none	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
ERHARD2024DATA	L8	misc	10.5281/zenodo.10419194	Crossref https://api.crossref.org/works/10.5281/zenodo.10419194 -> HTTP 404 | doi.org/ra https://doi.org/ra/10.5281/zenodo.10419194 -> HTTP 200 | DataCite https://api.datacite.org/dois/10.5281%2Fzenodo.10419194 -> HTTP 200	author(DataCite),title(DataCite),container-title(DataCite),year(DataCite)	none	none	none	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
TINOCO2003	L8	article	10.1016/S0026-2714(03)00098-2	Crossref https://api.crossref.org/works/10.1016/S0026-2714(03)00098-2 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref)	none	none	none	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
TINOCO2006	L8	article	10.1016/j.tsf.2005.08.351	Crossref https://api.crossref.org/works/10.1016/j.tsf.2005.08.351 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref)	none	none	none	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
KIM1996JVSTB	L8	article	10.1116/1.589002	Crossref https://api.crossref.org/works/10.1116/1.589002 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref)	container-title: 'Journal of Vacuum Science and Technology B' vs 'Journal of Vacuum Science & Technology B: Microelectronics and Nanometer Structures Processing, Measurement, and Phenomena' [Crossref; container; corrected to the record value]	none	none	none	none	MERGED	VERIFIED-CORRECTED	merged; fields from the record	METADATA_VERIFIED (B5)
SUGITA1996	L8	article	10.1016/0169-4332(96)00302-9	Crossref https://api.crossref.org/works/10.1016/0169-4332(96)00302-9 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),pages(Crossref),year(Crossref)	none	volume (dash-form, Crossref)	none	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
MCCARTNEY2005	L8	article	10.1093/jmicro/dfi035	Crossref https://api.crossref.org/works/10.1093/jmicro/dfi035 -> HTTP 200 | Crossref (second DOI named in the note) https://api.crossref.org/works/10.1093/jmicro/54.3.239 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref)	none	none	none	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
WATANABE1998PRL	L8	article	10.1103/PhysRevLett.80.345	Crossref https://api.crossref.org/works/10.1103/PhysRevLett.80.345 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref)	none	none	none	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
HIMPSEL1988	L8	article	10.1103/PhysRevB.38.6084	Crossref https://api.crossref.org/works/10.1103/PhysRevB.38.6084 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref)	none	none	the record title's MathML transcribed (subscripts, spaces)	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
RODER2016	L9	article	10.1016/j.ultramic.2015.11.004	Crossref https://api.crossref.org/works/10.1016/j.ultramic.2015.11.004 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),pages(Crossref),year(Crossref)	none	none	none	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
CHANG2016	L9	article	10.1016/j.ultramic.2015.09.004	Crossref https://api.crossref.org/works/10.1016/j.ultramic.2015.09.004 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),pages(Crossref),year(Crossref)	none	none	none	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
MIR2017	L9	article	10.1016/j.ultramic.2017.06.010	Crossref https://api.crossref.org/works/10.1016/j.ultramic.2017.06.010 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),pages(Crossref),year(Crossref)	none	none	none	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
PATON2021	L9	article	10.1016/j.ultramic.2021.113298	Crossref https://api.crossref.org/works/10.1016/j.ultramic.2021.113298 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),pages(Crossref),year(Crossref)	none	none	none	article number in an eid field (references.bib writes article numbers as pages)	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
NORD2020	L9	article	10.1017/s1431927620001713	Crossref https://api.crossref.org/works/10.1017/s1431927620001713 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref)	none	none	none	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
BALLABRIGA2013	L9	article	10.1088/1748-0221/8/02/c02016	Crossref https://api.crossref.org/works/10.1088/1748-0221/8/02/c02016 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref)	none	none	none	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
PLACKETT2013	L9	article	10.1088/1748-0221/8/01/c01038	Crossref https://api.crossref.org/works/10.1088/1748-0221/8/01/c01038 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref)	none	none	none	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
MCMULLAN2009	L9	article	10.1016/j.ultramic.2009.04.002	Crossref https://api.crossref.org/works/10.1016/j.ultramic.2009.04.002 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref)	none	none	none	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
MCMULLAN2007	L9	article	10.1016/j.ultramic.2006.10.005	Crossref https://api.crossref.org/works/10.1016/j.ultramic.2006.10.005 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref)	none	none	none	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
DIMOVA2025	L9	article	10.1016/j.nima.2025.170335	Crossref https://api.crossref.org/works/10.1016/j.nima.2025.170335 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),pages(Crossref),year(Crossref)	none	none	the record title's MathML transcribed (subscripts, spaces)	article number in an eid field (references.bib writes article numbers as pages)	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
HERRING2013MM	L9	article	10.1017/s1431927613003590	Crossref https://api.crossref.org/works/10.1017/s1431927613003590 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref)	none	none	none	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
HERRING2015MM	L9	article	10.1017/s1431927615002536	Crossref https://api.crossref.org/works/10.1017/s1431927615002536 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref)	none	none	none	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
SNOECK2014MM	L9	article	10.1017/s1431927614006382	Crossref https://api.crossref.org/works/10.1017/s1431927614006382 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref)	none	none	none	none	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
HARADA2006JAP	L9	article	10.1063/1.2198987	Crossref https://api.crossref.org/works/10.1063/1.2198987 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref)	none	none	none	article number in an eid field (references.bib writes article numbers as pages)	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
PUTTOCK2022	L9	article	10.1038/s41467-022-31309-0	Crossref https://api.crossref.org/works/10.1038/s41467-022-31309-0 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref)	none	none	none	article number in an eid field (references.bib writes article numbers as pages)	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
REIDY2021	L9	article	10.1038/s41467-021-21363-5	Crossref https://api.crossref.org/works/10.1038/s41467-021-21363-5 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref)	none	none	none	article number in an eid field (references.bib writes article numbers as pages)	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
HERRING2026MICRON	L9	article	10.1016/j.micron.2025.103945	Crossref https://api.crossref.org/works/10.1016/j.micron.2025.103945 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),pages(Crossref),year(Crossref)	none	none	none	article number in an eid field (references.bib writes article numbers as pages)	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
FANG2024MM	L9	article	10.1093/mam/ozae044.512	Crossref https://api.crossref.org/works/10.1093/mam/ozae044.512 -> HTTP 200	author(Crossref),title(Crossref),container-title(Crossref),volume(Crossref),issue(Crossref),pages(Crossref),year(Crossref)	none	none	the record title is doubly HTML-escaped ('&amp;lt;'); unescaped twice	number: unescaped underscore; article number in an eid field (references.bib writes article numbers as pages)	none	MERGED	VERIFIED	merged; fields from the record	METADATA_VERIFIED (B5)
SATO2008HITACHIREVIEW	L9	article		Crossref bibliographic query https://api.crossref.org/works?query.bibliographic=Hitachi%27s%20High-end%20Analytical%20Electron%20Microscope%20HF-3300%20Sato%20Hitachi%20Review%202008&rows=5&select=DOI,title,author,container-title,issued,page,volume,type -> HTTP 200 | page 1 https://www.hitachihyoron.com/rev/pdf/2008/r2008_03_104.pdf -> HTTP 200	entry title(page 1),author family name(page 1),author family name(page 1),author family name(page 1),author family name(page 1),author family name(page 1),running head(page 1),first page(page 1),last page(page 1)	none	none	none	none	none	MERGED	PAGE-CHECKED	merged; proposal fields as checked on the page	PAGE_CHECKED (B5)
UVIC_STEHM_PAGE	L9	misc		page 1 https://www.uvic.ca/research/advancedmicroscopy/about/microscopes/stehm/index.php -> HTTP 200	entry title(page 1),owner(page 1),owner(page 1)	none	none	none	none	none	MERGED	PAGE-CHECKED	merged; proposal fields as checked on the page	PAGE_CHECKED (B5)
UVIC_EMRG_FACILITIES	L9	misc		page 1 https://onlineacademiccommunity.uvic.ca/emicro/facilities/ -> HTTP 200 | WordPress REST record of the page https://onlineacademiccommunity.uvic.ca/emicro/wp-json/wp/v2/pages?slug=facilities&_fields=date,modified,link -> HTTP 200	entry title(page 1),owner(page 1),quoted sentence(page 1)	none	none	none	none	none	MERGED	PAGE-CHECKED	merged; proposal fields as checked on the page	PAGE_CHECKED (B5)
HERRING2012STEHMSLIDES	L9	misc		page 1 https://www.uvic.ca/research/advancedmicroscopy/assets/docs/STEHM/STEHM_Special_Features_CAMTEC_2013.pdf -> HTTP 200	entry title(page 1),author(page 1),owner(page 1),meeting(page 1),place(page 1)	none	none	none	none	none	MERGED	PAGE-CHECKED	merged; proposal fields as checked on the page	PAGE_CHECKED (B5)
HERRING2013STEHMSLIDES	L9	misc		page 1 https://www.uvic.ca/research/advancedmicroscopy/assets/docs/STEHM/STEHM_Presentation_CAMTEC_July_2013.pdf -> HTTP 200	entry title(page 1),author(page 1),owner(page 1),meeting(page 1)	none	none	none	none	none	MERGED	PAGE-CHECKED	merged; proposal fields as checked on the page	PAGE_CHECKED (B5)
QD_MERLINEM_PAGE	L9	misc		page 1 https://quantumdetectors.com/products/merlinem/ -> HTTP 200	entry title(page 1),owner(page 1)	none	none	none	none	none	MERGED	PAGE-CHECKED	merged; proposal fields as checked on the page	PAGE_CHECKED (B5)
KRAJNAK2023MMC	L9	misc		page 1 https://www.mmc-series.org.uk/abstract/1024-merlinem-hybrid-pixel-array-counting-detector-for-transmission-electron-microscopy.html -> HTTP 200	entry title(page 1),author family name(page 1),author family name(page 1),abstract number(page 1),form(page 1),owner(page 1),meeting(page 1),meeting(page 1)	none	none	none	none	none	MERGED	PAGE-CHECKED	merged; proposal fields as checked on the page	PAGE_CHECKED (B5)
