key	doi	status	change_or_source	verdict	residual_vs_record	label_before	label_after
TANISHIRO2003	10.1380/jsssj.24.166	ADDED-VERIFIED	L4 section 6.2, tier 1	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 1.0, "C": "match", "Y": "match", "V": "match", "P": "match"}	none	(new)	METADATA_VERIFIED (route: Crossref API record found by bibliographic search with the citation claimed in L4 section 6.2, tier 1, accepted on the strict five-field rule (first author, title, container, year, volume all match), cached as docs/agent_reports/crossref_cache/TANISHIRO2003.json; B3 pass 2, 2026-09-22)
TAKEGUCHI1990		ADDED-UNVERIFIED	L4 section 6.2, tier 1 (authors from OpenAlex W1954243266, not Crossref)	no Crossref record passed the acceptance test (see search candidates)	none	(new)	UNVERIFIED (B3 pass 2, 2026-09-22: fails the strict five-field rule)
OSAKABE1993UM	10.1016/0304-3991(93)90124-g	ADDED-VERIFIED	L4 section 6.2, tier 1	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 1.0, "C": "match", "Y": "match", "V": "match", "P": "match"}	none	(new)	METADATA_VERIFIED (route: Crossref API record found by bibliographic search with the citation claimed in L4 section 6.2, tier 1, accepted on the strict five-field rule (first author, title, container, year, volume all match), cached as docs/agent_reports/crossref_cache/OSAKABE1993UM.json; B3 pass 2, 2026-09-22)
OSAKABE1993SS	10.1016/0039-6028(93)90047-n	ADDED-VERIFIED	L4 section 6.2, tier 1	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 1.0, "C": "match", "Y": "match", "V": "match", "P": "match"}	none	(new)	METADATA_VERIFIED (route: Crossref API record found by bibliographic search with the citation claimed in L4 section 6.2, tier 1, accepted on the strict five-field rule (first author, title, container, year, volume all match), cached as docs/agent_reports/crossref_cache/OSAKABE1993SS.json; B3 pass 2, 2026-09-22)
OSAKABE1989EMSA	10.1017/s0424820100154652	ADDED-VERIFIED	L4 section 6.2, tier 1	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 1.0, "C": "match", "Y": "match", "V": "match", "P": "match"}	none	(new)	METADATA_VERIFIED (route: Crossref API record found by bibliographic search with the citation claimed in L4 section 6.2, tier 1, accepted on the strict five-field rule (first author, title, container, year, volume all match), cached as docs/agent_reports/crossref_cache/OSAKABE1989EMSA.json; B3 pass 2, 2026-09-22)
HERRING1995	10.1017/s0424820100136957	ADDED-VERIFIED	L4 section 6.2, tier 1	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 1.0, "C": "match", "Y": "match", "V": "match", "P": "match"}	none	(new)	METADATA_VERIFIED (route: Crossref API record found by bibliographic search with the citation claimed in L4 section 6.2, tier 1, accepted on the strict five-field rule (first author, title, container, year, volume all match), cached as docs/agent_reports/crossref_cache/HERRING1995.json; B3 pass 2, 2026-09-22)
TANJI1991	10.1016/0304-3991(91)90076-i	ADDED-VERIFIED	L4 section 6.2, tier 1 ("check before citing")	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 1.0, "C": "match", "Y": "match", "V": "match", "P": "match"}	none	(new)	METADATA_VERIFIED (route: Crossref API record found by bibliographic search with the citation claimed in L4 section 6.2, tier 1 ("check before citing"), accepted on the strict five-field rule (first author, title, container, year, volume all match), cached as docs/agent_reports/crossref_cache/TANJI1991.json; B3 pass 2, 2026-09-22)
TANISHIRO1999JEM	10.1093/oxfordjournals.jmicro.a023755	ADDED-VERIFIED	L4 section 6.2, tier 2	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 1.0, "C": "match", "Y": "match", "V": "match", "P": "match"}	none	(new)	METADATA_VERIFIED (route: Crossref API record found by bibliographic search with the citation claimed in L4 section 6.2, tier 2, accepted on the strict five-field rule (first author, title, container, year, volume all match), cached as docs/agent_reports/crossref_cache/TANISHIRO1999JEM.json; B3 pass 2, 2026-09-22)
TANISHIRO1999JJAP	10.1143/jjap.38.6540	ADDED-VERIFIED	L4 section 6.2, tier 2	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 1.0, "C": "match", "Y": "match", "V": "match", "P": "match"}	none	(new)	METADATA_VERIFIED (route: Crossref API record found by bibliographic search with the citation claimed in L4 section 6.2, tier 2, accepted on the strict five-field rule (first author, title, container, year, volume all match), cached as docs/agent_reports/crossref_cache/TANISHIRO1999JJAP.json; B3 pass 2, 2026-09-22)
WANG1993RPP	10.1088/0034-4885/56/8/002	ADDED-VERIFIED	L4 section 6.2, tier 2	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 1.0, "C": "match", "Y": "match", "V": "match", "P": "match"}	none	(new)	METADATA_VERIFIED (route: Crossref API record found by bibliographic search with the citation claimed in L4 section 6.2, tier 2, accepted on the strict five-field rule (first author, title, container, year, volume all match), cached as docs/agent_reports/crossref_cache/WANG1993RPP.json; B3 pass 2, 2026-09-22)
YAGI1993SSR	10.1016/0167-5729(93)90002-7	ADDED-VERIFIED	L4 section 6.2, tier 2	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 1.0, "C": "match", "Y": "match", "V": "match", "P": "match"}	none	(new)	METADATA_VERIFIED (route: Crossref API record found by bibliographic search with the citation claimed in L4 section 6.2, tier 2, accepted on the strict five-field rule (first author, title, container, year, volume all match), cached as docs/agent_reports/crossref_cache/YAGI1993SSR.json; B3 pass 2, 2026-09-22)
SENHORST2026	10.1364/oe.601179	ADDED-VERIFIED	L4 section 6.2, tier 3	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 1.0, "C": "match", "Y": "match", "V": "match", "P": "match"}	none	(new)	METADATA_VERIFIED (route: Crossref API record found by bibliographic search with the citation claimed in L4 section 6.2, tier 3, accepted on the strict five-field rule (first author, title, container, year, volume all match), cached as docs/agent_reports/crossref_cache/SENHORST2026.json; B3 pass 2, 2026-09-22)
SENHORST2024	10.1364/oe.542569	ADDED-VERIFIED	L4 section 6.2, tier 3	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 1.0, "C": "match", "Y": "match", "V": "match", "P": "match"}	none	(new)	METADATA_VERIFIED (route: Crossref API record found by bibliographic search with the citation claimed in L4 section 6.2, tier 3, accepted on the strict five-field rule (first author, title, container, year, volume all match), cached as docs/agent_reports/crossref_cache/SENHORST2024.json; B3 pass 2, 2026-09-22)
SEABERG2014	10.1364/optica.1.000039	ADDED-VERIFIED	L4 section 6.2, tier 3	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 1.0, "C": "match", "Y": "match", "V": "match", "P": "match"}	none	(new)	METADATA_VERIFIED (route: Crossref API record found by bibliographic search with the citation claimed in L4 section 6.2, tier 3, accepted on the strict five-field rule (first author, title, container, year, volume all match), cached as docs/agent_reports/crossref_cache/SEABERG2014.json; B3 pass 2, 2026-09-22)
KRUSE06	10.1016/j.ultramic.2005.06.057	ADDED-VERIFIED	L5 section 4, M2	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 1.0, "C": "match", "Y": "match", "V": "match", "P": "match"}	none	(new)	METADATA_VERIFIED (route: Crossref API record found by bibliographic search with the citation claimed in L5 section 4, M2, accepted on the strict five-field rule (first author, title, container, year, volume all match), cached as docs/agent_reports/crossref_cache/KRUSE06.json; B3 pass 2, 2026-09-22)
GAJDARDZISKA93	10.1016/0304-3991(93)90197-6	ADDED-VERIFIED	L5 section 4, M3	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 1.0, "C": "match", "Y": "match", "V": "match", "P": "match"}	none	(new)	METADATA_VERIFIED (route: Crossref API record found by bibliographic search with the citation claimed in L5 section 4, M3, accepted on the strict five-field rule (first author, title, container, year, volume all match), cached as docs/agent_reports/crossref_cache/GAJDARDZISKA93.json; B3 pass 2, 2026-09-22)
KIM98	10.1002/(sici)1521-396x(199803)166:1<445::aid-pssa445>3.0.co;2-n	ADDED-VERIFIED	L5 section 4, M4	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 0.995, "C": "match", "Y": "match", "V": "match", "P": "match"}	none	(new)	METADATA_VERIFIED (route: Crossref API record found by bibliographic search with the citation claimed in L5 section 4, M4, accepted on the strict five-field rule (first author, title, container, year, volume all match), cached as docs/agent_reports/crossref_cache/KIM98.json; B3 pass 2, 2026-09-22)
WANG97	10.1063/1.118556	ADDED-VERIFIED	L5 section 4, M5	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 1.0, "C": "match", "Y": "match", "V": "match", "P": "match"}	none	(new)	METADATA_VERIFIED (route: Crossref API record found by bibliographic search with the citation claimed in L5 section 4, M5, accepted on the strict five-field rule (first author, title, container, year, volume all match), cached as docs/agent_reports/crossref_cache/WANG97.json; B3 pass 2, 2026-09-22)
AUSLENDER24	10.1016/j.ultramic.2023.113862	ADDED-VERIFIED	L5 section 4, M6	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 1.0, "C": "match", "Y": "match", "V": "match", "P": "match"}	none	(new)	METADATA_VERIFIED (route: Crossref API record found by bibliographic search with the citation claimed in L5 section 4, M6, accepted on the strict five-field rule (first author, title, container, year, volume all match), cached as docs/agent_reports/crossref_cache/AUSLENDER24.json; B3 pass 2, 2026-09-22)
PENNINGTON15	10.1016/j.ultramic.2015.07.011	ADDED-VERIFIED	L5 section 4, M7	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 1.0, "C": "match", "Y": "match", "V": "match", "P": "match"}	none	(new)	METADATA_VERIFIED (route: Crossref API record found by bibliographic search with the citation claimed in L5 section 4, M7, accepted on the strict five-field rule (first author, title, container, year, volume all match), cached as docs/agent_reports/crossref_cache/PENNINGTON15.json; B3 pass 2, 2026-09-22)
OKEEFFE94	10.1107/s010876739300474x	ADDED-VERIFIED	L5 section 4, M8	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 0.966, "C": "match", "Y": "match", "V": "match", "P": "match"}	none	(new)	METADATA_VERIFIED (route: Crossref API record found by bibliographic search with the citation claimed in L5 section 4, M8, accepted on the strict five-field rule (first author, title, container, year, volume all match), cached as docs/agent_reports/crossref_cache/OKEEFFE94.json; B3 pass 2, 2026-09-22)
REZ94	10.1107/s0108767393013200	ADDED-VERIFIED	L5 section 4, M9	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 1.0, "C": "match", "Y": "match", "V": "match", "P": "match"}	none	(new)	METADATA_VERIFIED (route: Crossref API record found by bibliographic search with the citation claimed in L5 section 4, M9, accepted on the strict five-field rule (first author, title, container, year, volume all match), cached as docs/agent_reports/crossref_cache/REZ94.json; B3 pass 2, 2026-09-22)
SALDIN94	10.1016/0304-3991(94)90175-9	ADDED-VERIFIED	L5 section 4, M10	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 1.0, "C": "match", "Y": "match", "V": "match", "P": "match"}	none	(new)	METADATA_VERIFIED (route: Crossref API record found by bibliographic search with the citation claimed in L5 section 4, M10, accepted on the strict five-field rule (first author, title, container, year, volume all match), cached as docs/agent_reports/crossref_cache/SALDIN94.json; B3 pass 2, 2026-09-22)
KAWASUSO98	10.1103/physrevlett.81.2695	ADDED-VERIFIED	L5 section 4, M11	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 1.0, "C": "match", "Y": "match", "V": "match", "P": "match"}	none	(new)	METADATA_VERIFIED (route: Crossref API record found by bibliographic search with the citation claimed in L5 section 4, M11, accepted on the strict five-field rule (first author, title, container, year, volume all match), cached as docs/agent_reports/crossref_cache/KAWASUSO98.json; B3 pass 2, 2026-09-22)
HANADA94	10.1016/0039-6028(94)91162-2	ADDED-VERIFIED	L5 section 4, M12	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 0.984, "C": "match", "Y": "match", "V": "match", "P": "match"}	none	(new)	METADATA_VERIFIED (route: Crossref API record found by bibliographic search with the citation claimed in L5 section 4, M12, accepted on the strict five-field rule (first author, title, container, year, volume all match), cached as docs/agent_reports/crossref_cache/HANADA94.json; B3 pass 2, 2026-09-22)
SCHOWALTER05		ADDED-UNVERIFIED	L5 section 4, M13	ACCEPT-SUBSTITUTED(Y<-P) {"A": "match", "T": "match", "T_ratio": 1.0, "C": "match", "Y": "untestable", "V": "n/a", "P": "match"}	none	(new)	UNVERIFIED (B3 pass 2, 2026-09-22: fails the strict five-field rule)
TANAKA24	10.1007/978-4-431-56940-4_33	ADDED-VERIFIED	L5 section 4, M14	ACCEPT-5FIELD {"A": "match", "T": "match", "T_ratio": 1.0, "C": "match", "Y": "match", "V": "n/a", "P": "match"}	none	(new)	METADATA_VERIFIED (route: Crossref API record found by bibliographic search with the citation claimed in L5 section 4, M14, accepted on the strict five-field rule (first author, title, container, year, volume all match), cached as docs/agent_reports/crossref_cache/TANAKA24.json; B3 pass 2, 2026-09-22)
